model,feature,importance
decision_tree,V14,0.7560057018106614
decision_tree,V4,0.06976713245402011
decision_tree,V12,0.025679734215708044
decision_tree,V13,0.016923545752598947
decision_tree,V8,0.015991847809187252
decision_tree,V20,0.014640565806033982
decision_tree,V18,0.013708940113542059
decision_tree,V7,0.01145445900379431
decision_tree,V10,0.011177246488895525
decision_tree,V1,0.011142622829911962
decision_tree,V15,0.010305445299963266
decision_tree,V6,0.008493745798483459
decision_tree,V26,0.008411751608073035
decision_tree,V23,0.006583625058069557
decision_tree,Amount,0.00495302905678482
decision_tree,V28,0.003921757692277928
decision_tree,V17,0.003544366207728566
decision_tree,V27,0.0021280940682289183
decision_tree,V22,0.0014285362681079326
decision_tree,V11,0.0014241127552951174
decision_tree,V3,0.0010623494226789862
decision_tree,V5,0.000790324351631887
decision_tree,V16,0.000324605937460328
decision_tree,id,0.00013646019086279684
decision_tree,V25,1.783468780118295e-17
decision_tree,V2,0.0
decision_tree,V9,0.0
decision_tree,V19,0.0
decision_tree,V21,0.0
decision_tree,V24,0.0
random_forest,V14,0.18660985774225647
random_forest,V10,0.11303629876454173
random_forest,V12,0.09914137136078141
random_forest,V17,0.09506584048436692
random_forest,V4,0.09221089467105308
random_forest,V3,0.06794937676885936
random_forest,V11,0.056320442075304886
random_forest,V2,0.04014443698230449
random_forest,V16,0.0394710592193982
random_forest,V9,0.027228537189776372
random_forest,V7,0.020479533912913822
random_forest,V21,0.01672685714036282
random_forest,V19,0.01431947523356879
random_forest,Amount,0.013890934392643594
random_forest,V20,0.011578088464241161
random_forest,V1,0.011218445511432336
random_forest,V8,0.010885301851977915
random_forest,V27,0.010743537888383638
random_forest,V18,0.010693878923564062
random_forest,V26,0.007890720734137383
random_forest,V13,0.007614455881667699
random_forest,V15,0.006284895082827157
random_forest,V5,0.005957039762708377
random_forest,V23,0.0056883370231228785
random_forest,V22,0.005620879413431488
random_forest,V28,0.005453750494234355
random_forest,V25,0.005160589720546162
random_forest,V6,0.004642028812935065
random_forest,id,0.004575016038089803
random_forest,V24,0.003398118458568409
